sku,window_days,units_sold,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date
0G-JB6S-PN34,30,82.0,403.17,-221.94,-79.73,-0.359241,0,0,2026-06-10
3X-EXDD-TD2K,30,1.0,30.15,-20.51,1.86,0.090687,0,0,2026-06-10
4F-HT42-FD26,30,4.0,30.4,-13.76,3.83,0.278343,0,0,2026-06-10
5Q-LUQ1-L14K,30,1.0,44.16,-29.96,6.09,0.203271,0,0,2026-06-10
6V-EEC1-2S9Z,30,423.0,2597.5,-951.75,534.66,0.561765,0,0,2026-06-10
714776,30,3.0,14.06,-3.69,3.12,0.845528,0,0,2026-06-10
7L-OT45-7LYB,30,44.0,163.03,-51.84,10.06,0.194059,0,0,2026-06-10
8L-INBX-OUTU,30,1.0,8.03,-2.53,1.43,0.565217,0,0,2026-06-10
8M-LM6B-F2Q5,30,2.0,10.72,-3.6,2.3,0.638889,0,0,2026-06-10
8U-QPFH-3EKQ,30,1.0,5.22,-2.93,0.29,0.098976,0,0,2026-06-10
A2-T2AC-TW3L,30,261.0,2432.56,-1177.11,200.16,0.170044,0,0,2026-06-10
AF-KIHX-ANYY,30,1.0,2.87,-0.84,0.08,0.095238,0,0,2026-06-10
AK-OB6V-HIYD,30,31.0,133.33,-37.51,23.98,0.639296,0,0,2026-06-10
C6-XGZB-J6QA,30,33.0,150.2,-90.75,-5.6,-0.061708,0,0,2026-06-10
EV-CHU5-XU3G,30,8.0,51.43,-19.32,11.25,0.582298,0,0,2026-06-10
F7-PMJ2-SG6A,30,2.0,13.16,-5.4,1.93,0.357407,0,0,2026-06-10
FA-LRV6-YRFW,30,3.0,42.3,-23.04,2.87,0.124566,0,0,2026-06-10
GH-XAAE-HRU7,30,1.0,6.33,-2.37,0.23,0.097046,0,0,2026-06-10
GK-YI4S-C158,30,9.0,64.71,-23.67,4.96,0.209548,0,0,2026-06-10
H6-E7MP-EBPD,30,13.0,194.55,-109.85,15.96,0.145289,0,0,2026-06-10
HS-R5IP-7E1C,30,5.0,20.71,-5.7,-0.57,-0.1,0,0,2026-06-10
JB-RGB6-LZOJ,30,3.0,15.08,-7.41,0.75,0.101215,0,0,2026-06-10
JE-D4LO-O2JD,30,9.0,56.97,-15.48,6.2,0.400517,0,0,2026-06-10
L1-54EX-56YC,30,6.0,68.06,-32.1,10.32,0.321495,0,0,2026-06-10
LP-QMNJ-J49G,30,1.0,4.22,-0.7,0.69,0.985714,0,0,2026-06-10
LV-425G-BY4X,30,20.0,468.76,-327.6,18.18,0.055495,0,0,2026-06-10
MW-9K5M-VKW8,30,39.0,895.78,-532.35,85.75,0.161078,0,0,2026-06-10
NN-TSZ1-X2RD,30,69.0,430.08,-240.81,41.63,0.172875,0,0,2026-06-10
OV-LVEL-DQL6,30,1.0,12.81,-6.95,0.7,0.100719,0,0,2026-06-10
SE-UITZ-7CPY,30,1.0,7.67,-3.41,0.75,0.219941,0,0,2026-06-10
SU-JM8R-2U82,30,3.0,41.02,-20.85,5.42,0.259952,0,0,2026-06-10
T8-6UWL-I3E1,30,1.0,7.67,-1.48,3.18,2.148649,0,0,2026-06-10
TK-E7QE-T40G,30,15.0,112.01,-57.0,12.28,0.215439,0,0,2026-06-10
VF-3T0K-DR5O,30,83.0,352.89,-170.15,21.44,0.126006,0,0,2026-06-10
WJ-YHKC-EES5,30,10.0,75.0,-20.9,31.56,1.510048,0,0,2026-06-10
WX-L5UA-UB1Q,30,36.0,181.62,-61.92,33.62,0.542959,0,0,2026-06-10
X7-MY4W-H2I4,30,4.0,25.05,-9.12,1.04,0.114035,0,0,2026-06-10
XE-YPAI-HX9F,30,5.0,37.96,-23.95,2.65,0.110647,0,0,2026-06-10
